r,r_over_R,chord,twist,phi,alpha_deg,Cl,Cd,stalled,dT,dQ,vi,M_local
0.5443583333333333,0.7143810148731408,0.0508,0.0,0.07556668575660472,7.670347834355199,0.7697687407756103,0.03370241641872472,False,224.05194846052888,14.622425523406546,5.179083012723064,0.20159586795825307
0.554975,0.7283136482939633,0.0508,0.0,0.07503528207121551,7.700795022745698,0.7728243119665983,0.03388062068682971,False,233.79607699823643,15.493560470585834,5.242819961783429,0.20551936959308778
0.5655916666666667,0.7422462817147857,0.0508,0.0,0.07452902882264804,7.7298011972534,0.7757352681458611,0.03405104749509758,False,243.73651743391238,16.39822253452419,5.306931465658987,0.20944300904391963
0.5762083333333333,0.756178915135608,0.0508,0.0,0.0740509754315961,7.757191638942595,0.7784840751444099,0.034212569196727674,False,253.8644616799825,17.337071442749796,5.371740501124808,0.21336685183972512
0.586825,0.7701115485564305,0.0508,0.0,0.073605226876879,7.782731149851942,0.7810471293340333,0.03436369067073475,False,264.168020685847,18.310792021841692,5.437664604696197,0.2172909825819892
0.5974416666666666,0.7840441819772528,0.0508,0.0,0.07319725686930442,7.806106109453884,0.783392956877587,0.03450243950417425,False,274.63118449954135,19.32010353434896,5.505246573843033,0.22121551120172414
0.6080583333333334,0.7979768153980753,0.0508,0.0,0.0728342841457798,7.826902914590214,0.7854800500378536,0.034626234745083896,False,285.2324959663505,20.365771288106533,5.575192536495605,0.22514058077659985
0.618675,0.8119094488188976,0.0508,0.0,0.07252589279863657,7.844572437219874,0.7872533002839271,0.034731673300867114,False,295.9430083679188,21.44862164211652,5.6484321254247405,0.22906638013963565
0.6292916666666667,0.8258420822397201,0.0508,0.0,0.07228469782120102,7.858391891466686,0.7886401714041817,0.03481430321181161,False,306.7238323466426,22.56955818770653,5.726187248961976,0.232993158525504
0.6399083333333333,0.8397747156605424,0.0508,0.0,0.07212744538552666,7.867401792348978,0.789544372909309,0.03486825394301528,False,317.522335719067,23.729579453288476,5.810081387322677,0.23692124940794096
0.650525,0.8537073490813648,0.0508,0.0,0.07207652771618622,7.870319159904828,0.7898371495080166,0.03488573620956329,False,328.2667926561726,24.92979238465542,5.902291870629272,0.24085110465686585
0.6611416666666667,0.8676399825021873,0.0508,0.0,0.0721622327843466,7.865408621216359,0.7893443453660947,0.03485631363181204,False,338.8584405164316,26.17141093645861,6.005775839848933,0.2447833468442361
0.6717583333333333,0.8815726159230096,0.0508,0.0,0.07242623928673379,7.85028216286556,0.7878263079773681,0.03476579552140835,False,349.1592029547838,27.45571481485081,6.1246202406373005,0.24871885306776328
0.682375,0.8955052493438319,0.0508,0.0,0.07292718664108565,7.821579993702954,0.784945860689845,0.03459451811773616,False,358.972148978966,28.78390869141396,6.26459935739123,0.25265889378540013
0.6929916666666667,0.9094378827646544,0.0508,0.0,0.0737502360243777,7.774422737709476,0.7802133267359157,0.03431447392122211,False,368.0082424288189,30.156741799070577,6.434127778942576,0.25660537961842406
0.7036083333333334,0.9233705161854768,0.0508,0.0,0.07502467203013784,7.701402933319908,0.7728853197027948,0.03388418591350061,False,375.82566182702664,31.57352709487872,6.64600791167954,0.26056133298738493
0.714225,0.9373031496062992,0.0508,0.0,0.07695942147648868,7.590549955628733,0.7617605103862776,0.03323871739825943,False,381.7084137640121,33.02954098739814,6.920943426518072,0.26453187864162236
0.7248416666666666,0.9512357830271215,0.0508,0.0,0.07992456346556198,7.4206598339978065,0.7447109439491061,0.03226765179726157,False,384.3902422826013,34.508487537486616,7.2955731526756455,0.2685266165842049
0.7354583333333333,0.9651684164479439,0.0508,0.0,0.08467541905114824,7.148455859867561,0.7173935243319851,0.03075759806251291,False,381.30158573032656,35.95665646771607,7.844494900804683,0.2725664856619606
0.746075,0.9791010498687664,0.0508,0.0,0.09317967946755366,6.661197630127362,0.6684940269376539,0.028195435313849555,False,365.8095096680571,37.16220490113499,8.761390351817994,0.27671084487392533
0.7566916666666667,0.9930336832895887,0.0508,0.0,0.11451752591614468,5.438629084724885,0.5458014098582555,0.02256272888481132,False,307.6636232464767,36.57541364462297,10.937173133040158,0.28127330164911796
